,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN,HEIGHT,POSITION,HEIGHT_CM,POSITION_SIMPLE,Lv1,Lv2,Lv1_and_Lv2
97,1996-97,Danny Ferry,198,CLE,82,32.1,6-10,Forward,208.3,F,True,True,True
98,1996-97,Danny Manning,330,PHX,77,27.8,6-10,Forward-Center,208.3,F,True,True,True
99,1996-97,Darrell Armstrong,353,ORL,67,15.1,6-1,Guard,185.4,G,True,False,False
100,1996-97,Darrick Martin,239,LAC,82,22.2,5-11,Guard,180.3,G,True,True,True
101,1996-97,Darrin Hancock,241,ATL,24,5.7,6-7,Forward,200.7,F,False,False,False
102,1996-97,Darvin Ham,1032,IND,36,8.7,6-7,Forward-Guard,200.7,G,False,False,False
103,1996-97,David Robinson,764,SAS,6,24.5,7-1,Center,215.9,C,False,True,False
104,1996-97,David Vaughn,710,ORL,35,8.5,6-9,Forward,205.7,F,False,False,False
105,1996-97,David Wesley,133,BOS,74,40.4,6-1,Guard,185.4,G,True,True,True
106,1996-97,David Wingate,766,SEA,65,14.3,6-5,Guard-Forward,195.6,G,True,False,False
107,1996-97,David Wood,116,MIL,46,5.1,6-9,Forward,205.7,F,True,False,False
108,1996-97,Dean Garrett,1051,MIN,68,24.5,6-11,Center,210.8,C,True,True,True
109,1996-97,Dee Brown,244,BOS,21,24.9,,Guard,,G,False,True,False
110,1996-97,Dell Curry,209,CHH,68,30.6,6-5,Guard-Forward,195.6,G,True,True,True
111,1996-97,Dell Demps,725,ORL,2,4.6,6-3,Guard,190.5,G,False,False,False
112,1996-97,Dennis Rodman,23,CHI,55,35.4,6-7,Forward,200.7,F,True,True,True
113,1996-97,Dennis Scott,192,ORL,66,32.8,6-8,Forward,203.2,F,True,True,True
114,1996-97,Derek Fisher,965,LAL,80,11.5,6-1,Guard,185.4,G,True,False,False
115,1996-97,Derek Harper,157,DAL,75,29.5,6-4,Guard,193.0,G,True,True,True
116,1996-97,Derek Strong,400,ORL,82,24.5,6-9,Forward,205.7,F,True,True,True
117,1996-97,Derrick Alston,308,ATL,2,5.3,6-11,Center,210.8,C,False,False,False
118,1996-97,Derrick Coleman,934,PHI,57,36.8,6-10,Forward,208.3,F,True,True,True
119,1996-97,Derrick McKey,365,IND,50,28.9,6-10,Forward,208.3,F,True,True,True
120,1996-97,Detlef Schrempf,96,SEA,61,35.9,6-10,Forward,208.3,F,True,True,True
121,1996-97,Devin Gray,1070,SAS,6,8.2,6-7,Forward,200.7,F,False,False,False
122,1996-97,Dexter Boney,1121,PHX,8,5.6,6-4,Guard,193.0,G,False,False,False
123,1996-97,Dickey Simpkins,54,CHI,48,8.2,,Forward,,F,True,False,False
124,1996-97,Dikembe Mutombo,87,ATL,80,37.2,7-2,Center,218.4,C,True,True,True
125,1996-97,Dino Radja,129,BOS,25,34.9,6-11,Center,210.8,C,False,True,False
126,1996-97,Dominique Wilkins,1122,SAS,63,30.9,6-8,Forward,203.2,F,True,True,True
127,1996-97,Don MacLean,931,PHI,37,19.8,,Forward,,F,False,False,False
128,1996-97,Don Reid,690,DET,47,9.8,6-8,Forward,203.2,F,True,False,False
129,1996-97,Donald Royal,140,CHH,62,13.9,6-8,Forward,203.2,F,True,False,False
130,1996-97,Donald Whiteside,1126,TOR,27,9.7,5-10,Guard,177.8,G,False,False,False
131,1996-97,Donnie Boyce,671,ATL,22,7.0,6-5,Guard,195.6,G,False,False,False
132,1996-97,Donny Marshall,681,CLE,56,9.8,6-7,Forward,200.7,F,True,False,False
133,1996-97,Dontonio Wingfield,112,POR,47,12.0,6-8,Forward,203.2,F,True,False,False
134,1996-97,Donyell Marshall,923,GSW,61,16.8,6-9,Forward,205.7,F,True,False,False
135,1996-97,Doug Christie,57,TOR,81,38.6,6-6,Guard-Forward,198.1,G,True,True,True
136,1996-97,Doug Overton,77,PHI,61,10.5,6-3,Guard,190.5,G,True,False,False
137,1996-97,Doug West,28,MIN,68,28.3,,Guard,,G,True,True,True
138,1996-97,Duane Causwell,190,SAC,46,12.9,7-0,Center,213.4,C,True,False,False
139,1996-97,Duane Ferrell,273,IND,62,18.0,6-7,Forward,200.7,F,True,False,False
140,1996-97,Dwayne Schintzius,368,LAC,15,7.7,7-2,Center,218.4,C,False,False,False
141,1996-97,Earl Cureton,940,TOR,9,5.0,6-9,Forward,205.7,F,False,False,False
142,1996-97,Ed O'Bannon,709,DAL,64,12.6,6-8,Forward,203.2,F,True,False,False
143,1996-97,Ed Pinckney,291,MIA,27,10.0,6-9,Forward,205.7,F,False,False,False
144,1996-97,Eddie Johnson,698,HOU,52,17.5,,Forward,,F,True,False,False
145,1996-97,Eddie Jones,224,LAL,80,37.5,6-6,Guard-Forward,198.1,G,True,True,True
146,1996-97,Elden Campbell,922,LAL,77,32.6,7-0,Center-Forward,213.4,F,True,True,True
147,1996-97,Eldridge Recasner,695,ATL,71,16.9,,Guard,,G,True,False,False
148,1996-97,Elliot Perry,386,MIL,82,19.5,,Guard,,G,True,False,False
149,1996-97,Elmer Bennett,1120,DEN,9,8.4,6-0,Guard,182.9,G,False,False,False
150,1996-97,Elmore Spencer,771,SEA,1,5.5,7-0,Center,213.4,C,False,False,False
151,1996-97,Emanual Davis,1023,HOU,13,17.7,6-5,Guard,195.6,G,False,False,False
152,1996-97,Ennis Whatley,941,POR,3,7.0,6-3,Guard,190.5,G,False,False,False
153,1996-97,Eric Leckner,287,VAN,20,6.5,6-11,Center,210.8,C,False,False,False
154,1996-97,Eric Mobley,211,VAN,28,10.9,6-11,Center,210.8,C,False,False,False
155,1996-97,Eric Montross,376,NJN,78,23.4,7-0,Center,213.4,C,True,True,True
156,1996-97,Eric Murdock,785,DEN,12,9.6,6-1,Guard,185.4,G,False,False,False
157,1996-97,Eric Piatkowski,15,LAC,65,11.5,6-7,Guard-Forward,200.7,G,True,False,False
158,1996-97,Eric Snow,727,SEA,67,11.4,6-3,Guard,190.5,G,True,False,False
159,1996-97,Eric Williams,677,BOS,72,33.8,6-8,Guard-Forward,203.2,G,True,True,True
160,1996-97,Erick Dampier,956,IND,72,14.6,6-11,Center,210.8,C,True,False,False
161,1996-97,Erick Strickland,1065,DAL,28,27.1,6-3,Guard,190.5,G,False,True,False
162,1996-97,Ervin Johnson,911,DEN,82,31.7,6-11,Center,210.8,C,True,True,True
163,1996-97,Evric Gray,1026,NJN,5,8.5,6-7,Forward,200.7,F,False,False,False
164,1996-97,Felton Spencer,280,GSW,73,21.4,7-0,Center,213.4,C,True,True,True
165,1996-97,Frank Brickowski,783,BOS,17,15.0,6-9,Forward,205.7,F,False,False,False
166,1996-97,Frankie King,701,PHI,7,8.5,6-1,Guard,185.4,G,False,False,False
167,1996-97,Fred Hoiberg,697,IND,47,12.2,6-5,Guard,195.6,G,True,False,False
168,1996-97,Fred Roberts,122,DAL,12,3.4,6-10,Forward,208.3,F,False,False,False
169,1996-97,Gary Grant,202,MIA,28,13.0,,Guard,,G,False,False,False
170,1996-97,Gary Payton,56,SEA,82,39.2,6-4,Guard,193.0,G,True,True,True
171,1996-97,Gary Trent,718,POR,82,23.4,6-8,Forward,203.2,F,True,True,True
172,1996-97,Gaylon Nickerson,1093,WAS,4,10.4,6-3,Guard,190.5,G,False,False,False
173,1996-97,George Lynch,248,VAN,41,25.8,6-8,Forward,203.2,F,True,True,True
174,1996-97,George McCloud,45,LAL,64,23.3,6-8,Forward,203.2,F,True,True,True
175,1996-97,George Zidek,678,DEN,52,7.2,7-0,Center,213.4,C,True,False,False
176,1996-97,Gerald Wilkins,786,ORL,80,27.6,6-6,Guard,198.1,G,True,True,True
177,1996-97,Gheorghe Muresan,49,WAS,73,25.2,7-7,Center,231.1,C,True,True,True
178,1996-97,Glen Rice,779,CHH,79,42.5,6-8,Forward-Guard,203.2,G,True,True,True
179,1996-97,Glenn Robinson,299,MIL,80,38.9,6-7,Forward,200.7,F,True,True,True
180,1996-97,Grant Hill,255,DET,80,39.3,6-8,Forward,203.2,F,True,True,True
181,1996-97,Grant Long,3,DET,65,18.0,6-9,Forward,205.7,F,True,False,False
182,1996-97,Greg Anderson,246,SAS,82,20.3,6-10,Center-Forward,208.3,F,True,True,True
183,1996-97,Greg Anthony,21,VAN,65,28.6,6-1,Guard,185.4,G,True,True,True
184,1996-97,Greg Dreiling,1068,DAL,40,9.7,7-1,Center,215.9,C,False,False,False
185,1996-97,Greg Foster,323,UTA,79,11.6,6-11,Center,210.8,C,True,False,False
186,1996-97,Greg Graham,37,SEA,28,6.9,6-4,Guard,193.0,G,False,False,False
187,1996-97,Greg Minor,65,BOS,23,23.8,6-6,Guard,198.1,G,False,True,False
188,1996-97,Greg Ostertag,731,UTA,77,23.6,7-2,Center,218.4,C,True,True,True
189,1996-97,Hakeem Olajuwon,165,HOU,78,36.5,7-0,Center,213.4,C,True,True,True
190,1996-97,Harvey Grant,265,WAS,78,20.6,6-9,Forward,205.7,F,True,True,True
191,1996-97,Haywoode Workman,906,IND,4,20.1,6-2,Guard,188.0,G,False,True,False
192,1996-97,Henry James,1080,ATL,53,17.9,6-8,Forward,203.2,F,True,False,False
193,1996-97,Herb Williams,1006,NYK,21,8.7,6-11,Center,210.8,C,False,False,False
194,1996-97,Hersey Hawkins,765,SEA,82,33.6,6-3,Guard,190.5,G,True,True,True
