,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN
260,1996-97,Kurt Thomas,703,MIA,18,20.8
261,1996-97,LaPhonso Ellis,111,DEN,55,36.4
262,1996-97,LaSalle Thompson,78,IND,26,5.3
263,1996-97,Lamond Murray,441,LAC,74,17.5
264,1996-97,Larry Johnson,913,NYK,76,34.4
265,1996-97,Larry Krystkowiak,1474,LAL,3,3.9
266,1996-97,Larry Stewart,1125,SEA,70,14.0
267,1996-97,Latrell Sprewell,84,GSW,80,41.9
268,1996-97,Lawrence Moten,734,VAN,67,18.2
269,1996-97,Lee Mayberry,195,VAN,80,24.5
270,1996-97,Lindsey Hunter,283,DET,82,36.9
271,1996-97,Lionel Simmons,1489,SAC,41,12.7
272,1996-97,Litterial Green,1036,DET,45,6.8
273,1996-97,Lloyd Daniels,1380,NJN,22,14.0
274,1996-97,Loren Meyer,684,PHX,54,13.0
275,1996-97,Lorenzen Wright,953,LAC,77,25.2
276,1996-97,Lorenzo Williams,31,WAS,19,14.0
277,1996-97,Lou Roe,691,GSW,17,6.3
278,1996-97,Loy Vaught,919,LAC,82,34.6
279,1996-97,Luc Longley,26,CHI,59,25.0
280,1996-97,Lucious Harris,446,PHI,54,15.0
281,1996-97,Mahmoud Abdul-Rauf,51,SAC,75,28.5
282,1996-97,Malik Rose,990,CHH,54,9.7
283,1996-97,Malik Sealy,907,LAC,80,30.8
284,1996-97,Marcus Brown,992,POR,21,8.7
285,1996-97,Marcus Camby,948,TOR,63,30.1
286,1996-97,Mario Elie,53,HOU,78,34.5
287,1996-97,Mark Bradtke,1361,PHI,36,6.9
288,1996-97,Mark Bryant,95,PHX,41,24.8
289,1996-97,Mark Davis,707,PHI,75,22.8
290,1996-97,Mark Hendrickson,971,PHI,29,10.3
291,1996-97,Mark Jackson,349,IND,82,37.2
292,1996-97,Mark Price,899,GSW,70,26.8
293,1996-97,Mark Strickland,1110,MIA,31,4.9
294,1996-97,Mark West,770,CLE,70,13.7
295,1996-97,Martin Lewis,729,TOR,9,5.6
296,1996-97,Martin Muursepp,982,DAL,42,8.3
297,1996-97,Marty Conlon,55,BOS,74,21.8
298,1996-97,Matt Bullard,672,HOU,71,14.4
299,1996-97,Matt Fish,900,MIA,6,1.3
300,1996-97,Matt Geiger,761,CHH,49,21.3
301,1996-97,Matt Maloney,1074,HOU,82,29.1
302,1996-97,Matt Steigenga,1099,CHI,2,5.9
303,1996-97,Melvin Booker,511,GSW,21,20.3
304,1996-97,Michael Cage,262,PHI,82,15.1
305,1996-97,Michael Curry,688,DET,81,15.0
306,1996-97,Michael Finley,714,DAL,83,33.6
307,1996-97,Michael Hawkins,1138,BOS,29,11.2
308,1996-97,Michael Jordan,893,CHI,82,37.9
309,1996-97,Michael Smith,63,SAC,81,31.1
310,1996-97,Mike Brown,1479,PHX,6,13.6
311,1996-97,Mitch Richmond,782,SAC,81,38.6
312,1996-97,Mitchell Butler,348,POR,49,9.4
313,1996-97,Monty Williams,42,SAS,65,20.7
314,1996-97,Moochie Norris,983,VAN,8,10.9
315,1996-97,Mookie Blaylock,302,ATL,78,39.2
316,1996-97,Muggsy Bogues,177,CHH,65,28.9
317,1996-97,Nate Driggers,1041,BOS,15,8.9
318,1996-97,Nate McMillan,203,SEA,37,21.7
319,1996-97,Nick Anderson,98,ORL,63,34.4
320,1996-97,Nick Van Exel,89,LAL,79,37.3
321,1996-97,Olden Polynice,178,SAC,82,35.2
322,1996-97,Oliver Miller,932,TOR,61,18.9
323,1996-97,Othella Harrington,970,HOU,57,15.1
324,1996-97,Otis Thorpe,901,DET,79,33.7
325,1996-97,P.J. Brown,136,MIA,80,32.4
326,1996-97,Patrick Ewing,121,NYK,78,37.0
327,1996-97,Pervis Ellison,442,BOS,6,20.7
328,1996-97,Pete Chilcutt,432,VAN,54,12.3
329,1996-97,Pooh Richardson,71,LAC,59,18.1
330,1996-97,Popeye Jones,461,TOR,79,30.7
331,1996-97,Priest Lauderdale,968,ATL,35,5.1
332,1996-97,Rafael Addison,912,CHH,41,8.6
333,1996-97,Randolph Childress,719,DET,23,6.6
334,1996-97,Randy Brown,753,CHI,72,14.7
335,1996-97,Randy Livingston,988,HOU,64,15.3
336,1996-97,Rasheed Wallace,739,POR,62,30.6
337,1996-97,Ray Allen,951,MIL,82,31.0
